episode,reward
0,50.88639522683558
1,53.21933559830913
2,46.70957900108304
3,51.35803718744154
4,48.64681934181084
5,54.66468030522912
6,52.205522537285404
7,46.99164580455181
8,53.52852126369786
9,42.873905535135535
10,51.30824141248688
11,51.38475340897853
12,48.518747948601806
13,48.23620958380664
14,50.58953768463797
15,52.65127681501518
16,47.5062782758669
17,46.45841700866328
18,52.157140990139226
19,52.05101500791387
20,49.78923775159481
21,49.36743717424508
22,50.76143679573274
23,52.841040322355425
24,53.52696976097921
25,53.07470513912513
26,47.49205417048154
27,45.73166194253502
28,49.01977578095426
29,49.04030391657206
30,52.38223344543221
31,51.59960438579847
32,50.27782045990825
33,54.16128636281179
34,45.991691844445626
35,47.20346093708499
36,48.5315488709664
37,49.8974087597685
38,46.574449858575456
39,48.43218970870032
40,49.0511399052779
41,44.83410665268755
42,46.65648240005676
43,44.04004616942823
44,51.22895899974419
45,52.46912831873826
46,49.7810717328266
47,45.8347593818264
48,51.22882248320583
49,47.29922940206995
50,47.29173275290849
51,46.97233718884936
52,51.35387122371824
53,46.44745152468681
54,50.19629883441603
55,47.477938068116586
56,47.51216884130026
57,44.4494570647064
58,52.868697562826455
59,56.22659044616199
60,48.95515704707884
61,50.21733572514775
62,54.14101426683283
63,46.721865319033995
64,53.40389166796581
65,52.22711076439374
66,52.79856841646024
67,53.707395756273556
68,52.56868005438717
69,52.117265276832335
70,48.193233361265094
71,54.45558957227375
72,56.11322569671075
73,45.999576839643076
74,49.227131631564994
75,54.342709322026415
76,48.3067057153463
77,50.054928897692456
78,47.651104310711276
79,45.83588959424561
80,52.25532987955459
81,46.66185359616315
82,55.32219479395759
83,48.05024127783474
84,45.84300641822704
85,46.00590646259048
86,49.556137028567804
87,48.08800669558559
88,47.78617897000312
89,50.859134975231775
90,48.7652753813273
91,47.343614981723235
92,54.287675218380514
93,50.739429169084225
94,47.10394724841034
95,53.740751724420385
96,52.498123448948746
97,52.3141423853785
98,51.26655955363102
99,46.88126872808578
100,47.55367781700486
101,48.40499401706122
102,49.25584761771724
103,51.93763597611429
104,51.34734056015151
105,52.77315983381863
106,52.98719381885944
107,47.6868950467063
